
Job, Esteb-Kaski
Category, MBF, Tonnage
DF, 18.30, 0.00
WH, 20.90, 0.00
RC, 0.00, 0.00
RA, 0.00, 0.00
OH, 0.00, 0.00
Pulp, ,0

Job, Joe Rhoades
Category, MBF, Tonnage
DF, 15.60, 0.00
WH, 0.00, 0.00
RC, 0.00, 0.00
RA, 0.00, 0.00
OH, 0.00, 51.50
Pulp, ,51.5

